experiment_id,dataset_fraction,dataset_rows,train_rows,test_rows,hidden_layer_sizes,hidden_layer_count,hidden_nodes_total,learning_rate,epochs,alpha,train_accuracy,test_accuracy,train_f1_macro,test_f1_macro,actual_iterations,final_loss
15,0.5,7708,6166,1542,"(16, 8)",2,24,0.0005,300,0.0001,0.9365877392150502,0.9377431906614786,0.9076393347495767,0.9094874040314761,136,0.2348271427293944
12,0.5,7708,6166,1542,"(16, 8)",2,24,0.001,250,0.0001,0.9367499189101525,0.9377431906614786,0.9078487937908101,0.9094874040314761,248,0.22729355983685084
11,0.5,7708,6166,1542,"(32,)",1,32,0.001,250,0.0001,0.9364255595199481,0.9377431906614786,0.9074152667046543,0.9094874040314761,144,0.2323822370959314
10,0.5,7708,6166,1542,"(16,)",1,16,0.001,200,0.0001,0.9369120986052546,0.9377431906614786,0.908173469858171,0.9094874040314761,158,0.2319235049935273
18,1.0,15416,12332,3084,"(16,)",1,16,0.001,200,0.0001,0.9421018488485242,0.9377431906614786,0.9154487996066648,0.908637123642526,136,0.22463199771379602
19,1.0,15416,12332,3084,"(32,)",1,32,0.001,250,0.0001,0.9421829386960753,0.9377431906614786,0.915572966340902,0.908637123642526,176,0.22117773230607246
20,1.0,15416,12332,3084,"(16, 8)",2,24,0.001,250,0.0001,0.9421018488485242,0.9377431906614786,0.9154487996066648,0.908637123642526,92,0.2249106403485807
21,1.0,15416,12332,3084,"(32, 16)",2,48,0.001,300,0.0001,0.9421829386960753,0.9377431906614786,0.915572966340902,0.908637123642526,159,0.21638868787637944
23,1.0,15416,12332,3084,"(16, 8)",2,24,0.0005,300,0.0001,0.9421018488485242,0.9377431906614786,0.9154487996066648,0.908637123642526,141,0.22456921490455872
22,1.0,15416,12332,3084,"(32, 16, 8)",3,56,0.001,300,0.0001,0.9421018488485242,0.9377431906614786,0.915467187074292,0.908637123642526,114,0.21592981312754325
24,1.0,15416,12332,3084,"(16, 8)",2,24,0.01,200,0.0001,0.9421829386960753,0.9377431906614786,0.9155546209678405,0.908637123642526,116,0.22062164009155144
14,0.5,7708,6166,1542,"(32, 16, 8)",3,56,0.001,300,0.0001,0.9378851767758677,0.937094682230869,0.9093290735598233,0.9084549873021107,201,0.21339315996113342
13,0.5,7708,6166,1542,"(32, 16)",2,48,0.001,300,0.0001,0.937236457995459,0.937094682230869,0.9084930716030161,0.9084549873021107,224,0.21663287336233542
17,1.0,15416,12332,3084,"(8,)",1,8,0.001,150,0.0001,0.9421018488485242,0.9374189364461738,0.9154487996066648,0.9081430553181319,131,0.22854019763823213
9,0.5,7708,6166,1542,"(8,)",1,8,0.001,150,0.0001,0.9365877392150502,0.9364461738002594,0.907710857557694,0.9074173612176373,150,0.24001707466703284
16,0.5,7708,6166,1542,"(16, 8)",2,24,0.01,200,0.0001,0.9380473564709698,0.9357976653696498,0.909534309337651,0.9063774037963913,133,0.22068361908177112
8,0.25,3854,3083,771,"(16, 8)",2,24,0.01,200,0.0001,0.9406422315926046,0.9325551232166018,0.9119687626004559,0.9042514978248288,164,0.21010940160603853
4,0.25,3854,3083,771,"(16, 8)",2,24,0.001,250,0.0001,0.9390204346415829,0.9325551232166018,0.9099277409216514,0.9042514978248288,250,0.22516028271312397
3,0.25,3854,3083,771,"(32,)",1,32,0.001,250,0.0001,0.9390204346415829,0.9325551232166018,0.9099277409216514,0.9042514978248288,250,0.22682944268833694
7,0.25,3854,3083,771,"(16, 8)",2,24,0.0005,300,0.0001,0.9390204346415829,0.9325551232166018,0.9099277409216514,0.9042514978248288,300,0.23068529978245852
2,0.25,3854,3083,771,"(16,)",1,16,0.001,200,0.0001,0.9386960752513785,0.9325551232166018,0.9094834314838881,0.9042514978248288,172,0.23164223513989232
1,0.25,3854,3083,771,"(8,)",1,8,0.001,150,0.0001,0.9386960752513785,0.9325551232166018,0.9094834314838881,0.904051133077278,150,0.2468592638299372
5,0.25,3854,3083,771,"(32, 16)",2,48,0.001,300,0.0001,0.9396691534219915,0.9312581063553826,0.9106866277851373,0.9019483348895113,300,0.19778263529245502
6,0.25,3854,3083,771,"(32, 16, 8)",3,56,0.001,300,0.0001,0.9432371067142393,0.9286640726329443,0.9151430191464037,0.8976452109242142,300,0.1858806837182946
